"","job_title","Less_than_1_year","Four_Plus_years","Five_to_Nine_years","Ten_to_Nineteen_years","Twenty_plus_years"
"720","Records Manager",45508.67,56986.3,61226.04,68432.02,73134.3
"721","Kindergarten Teacher (but not Special Education)",38893.2,40850.43,42679.43,48742.44,45005.96
"722","Primary School Teacher",39923.97,40444.66,45570.09,47333.69,54263.05
"723","Multimedia Specialist",40067.17,46536.75,53342.4,58977.34,68738.27
"724","Special Education Assistant",13.82,14.44,17.03,17.29,20.47
"725","Graduate Research Assistant (GRA)",29079,27903.78,28564.51,39995.89,NA
"726","High School Principal",67249.17,84739.97,87624.08,93264.98,100413.25
"727","Curriculum Developer",57583.51,58319.27,67991.17,72112.15,83102.24
"728","Academic Dean",71145.46,79416.49,83235.63,101539.35,107840.97
"729","Instructional Designer (Training & Development)",55617.67,59544.03,65925.31,68481.77,70003.52
"730","Principal / Headmaster",58957.53,64734.19,85398.21,95585.66,95370.04
"731","Dance Instructor",14.64,18.28,24.53,29.69,29.71
"732","Assistant Director, Preschool",14.8,15.11,15.26,15.62,15.45
"733","Dance Teacher",14.59,20.57,25.29,25.51,30.17
"734","Childcare Teacher",9.24,10.39,11.54,11.79,12.72
"735","Financial Aid Director",49434.82,53457.94,61976.13,67155.46,76560.78
"736","Reading Specialist",43444.14,48152.04,52807.42,57615.43,59654.53
"737","Educational Assistant",12.69,13.92,14.22,15.6,15.04
"738","Department Administrator",57325.12,58077.56,68325.73,74463.26,98094.83
"739","Middle School Math/Science Teacher",40825.77,43758.3,49354.02,57021.58,62443.37
"740","Instructor, Gymnastics",9.86,12.1,15.31,19.28,23.96
"741","Reference Librarian",45747.76,47096,48547.43,51585.26,59237.83
"742","Director of Special Education",68048.68,68082.92,68256.29,74470.03,82382.21
"743","Instructional Designer / Trainer",48705.17,57195.24,64870.9,73830.75,74779.27
"744","Assistant Registrar",38526.51,44333.2,48297.45,45496.56,43235.95
"745","Assistant Preschool Teacher",11.32,11.85,12.85,12.71,14.55
"746","Multimedia Production Coordinator",37500,45422.91,53084.73,56376.28,67664.35
"747","Teacher College/University (Unknown Type)",49316.4,46013.65,49229.28,50656.46,52441.89
"748","Flight Instructor",24.76,24.66,25.6,33.43,38.57
"749","Director of Alumni Relations",50066.46,60487.92,71683.88,76992.99,84334.7
"750","School Superintendent",115356.89,110090.66,113694.73,125109.21,135236.77
"751","Academic Coordinator",40919.81,43150.48,47753.71,49099.73,60399.16
"752","Curator",34983.6,46055.73,51168.75,59816.27,81977.28
"753","Restaurant Manager",41237.05,45163,47909.49,49456.1,50987.23
"754","General Manager, Restaurant",41368.09,45676.07,49933.75,53782.29,56106.12
"755","Line Cook",11.15,12.28,13.44,13.79,14.16
"756","Server",7.82,8.12,8.27,7.89,6.67
"757","Executive Chef",53078.85,55141.27,57573.71,63208.38,68729.93
"758","Food Service Worker",10.33,11.02,12.07,12.56,13.07
"759","Barista",10.44,11.12,12.12,12.4,12.38
"760","Sous Chef",40435.33,43644.3,45614.69,47212.76,47984.95
"761","Restaurant Assistant Manager",11.94,12.71,13.56,13.99,13.88
"762","Deli Clerk",11.28,11.71,12.25,13.21,12.87
"763","Kitchen Manager",13.32,13.61,14.79,15.17,15.38
"764","Dishwasher",10.19,10.49,10.78,10.96,11.09
"765","Cook, Restaurant",9.87,11.09,12.61,12.78,12.85
"766","Prep Cook",10.94,11.71,12.41,12.67,12.92
"767","Restaurant Host/Hostess",9.65,10.04,11.14,11.73,11.97
"768","Bartender",8.66,8.66,8.44,8.5,9.06
"769","Waiter/Waitress",6.95,7.21,7.55,8.04,6.5
"770","Food Service Manager",12.84,13.76,14.52,16.3,17.75
"771","Dietary Cook",11.21,11.74,12.22,13.02,13.73
"772","Fast Food Worker",9,9.37,9.96,9.99,9.79
"773","Cook, Institution and Cafeteria",10.46,11.81,13.13,13.76,14.58
"774","Head Chef/Cook",11.26,12.43,13.98,14.45,15.13
"775","Grill Cook",9.7,10.79,12.14,12.44,12.73
"776","Bar Manager",11.99,12.02,12.02,12.08,12.29
"777","Cook, Fast Food",8.97,9.28,9.98,9.8,9.34
"778","Assistant Manager, Fast Food",11.4,11.98,12.75,12.86,11.95
"779","Pizza Cook / Chef / Maker",8.85,10.03,11.64,12.22,14.7
"780","Food and Beverage Manager",45932.92,48751.77,51245.11,52179.39,53476.12
"781","Head Chef",41252.17,47175.52,47394.09,49871.93,50472.99
"782","Food and Beverage Director",48538.56,58953.74,69216.83,73140.63,76369.08
"783","Food Service Supervisor",13.53,13.99,14.75,15.88,17.12
"784","Deli Associate",10.8,11.48,12.11,12.63,12.13
"785","Deli Manager",14.22,14.96,16.22,16.89,18.54
"786","Kitchen Chef",11.61,12.72,14.24,15.39,15.21
"787","General Manager, Food Service",39227.61,42930.19,49098.55,55406.98,58978.13
"788","Catering Sales Manager",40045.81,44544.64,49409.83,49928.2,51758.9
"789","Catering Manager",40297.75,45943.36,48479.81,50265.86,50090.91
"790","Busser",8.89,9.14,9.94,9.79,7.12
"791","Front of House Manager",38535.79,40289,43395.34,41464.14,40188.2
"792","Cook Supervisor",12.25,13.35,14.66,14.75,15.54
"793","Executive Sous Chef",51743.54,54823.95,56985.8,57964.7,NA
"794","Restaurant Supervisor",12.75,13.97,14.68,15.08,15.84
"795","Chef de Cuisine",49527.57,51275.85,57211.2,63578.55,NA
"796","Kitchen Supervisor",12.54,14.03,15.3,15.37,15.58
"797","Chef Manager",45645.99,48995.25,52911.96,54127.84,NA
"798","Floor Manager",14.5,14.81,15.83,15.42,16
"799","Banquet Manager",38736.77,45482.68,45912.77,51049.01,56268.8
"800","Cafeteria Worker",10.01,10.36,11.34,11.81,12.22
"801","Fast Food Manager",10.51,11.34,11.97,12.45,13
"802","Cafe Manager",12.35,13.67,14.51,15.72,14.85
"803","Personal Chef",19,19.97,21.48,25.16,25.09
"804","Host/Hostess",9.69,10.12,11.28,11.95,12.29
"805","Cafeteria Manager",13.04,13.54,14.4,15.34,17.43
"806","Kitchen Worker",10.08,10.28,11.55,11.71,12.77
"807","Director of Dining Services",55177.72,60392.75,63915.56,65123.46,NA
"808","Food And Beverage Supervisor",13.75,15.18,15.24,15.88,15.06
"809","Private Chef",58700,61538.53,68063.75,74829.65,76533.18
"810","Dining Room Manager",44027.03,45969.74,43602.7,46130.2,49285.07
"811","Food Server",10.05,10.18,11.17,11.33,11.28
"812","Coffee Shop Manager",12.82,13.23,13.74,15.67,15.03
"813","Front of House Manager, Restaurant",11.49,13.2,15,14.91,17.42
"814","Banquet Captain",13.37,13.25,14.44,15.22,15
"815","General/Institution Cook",12.14,12.77,13.66,15.06,NA
"816","Director of Catering",54745.19,60989.09,65191.92,68600.49,NA
"817","Assistant Restaurant Manager",37911.11,39471.03,43577.87,45044.28,46579.13
"818","Food Runner",9.23,9.98,10.33,11.19,11.06
"819","Dietary Supervisor",14.35,14.12,14.79,15.74,17.24
"820","Banquet Server",10.25,11.08,13.11,14.03,13.15
"821","Assistant Kitchen Manager, Restaurant",12.88,13.71,14.38,14.88,14.23
"822","Catering Coordinator",12.7,14.17,14.94,16.72,16.23
"823","Food Server, Kitchen",9.84,10.95,11.49,12.29,12
"824","Greeter",11.31,11.62,12.22,12.44,12.48
"825","Pastry Cook",12.47,14.12,14.32,14.98,15.14
"826","Cook, Short Order",9.2,10.68,12.3,12.22,12.3
"827","Assistant Food and Beverage Manager",40755.52,43518.31,47571.08,45596.86,47400.87
"828","Sushi Chef",11.47,13.06,15.28,16.64,19.58
"829","Pizza Store Manager",9.67,12.22,14.74,15,15
"830","Banquet Chef",46129.79,50165.94,55732.94,55551.95,NA
"831","Restaurant and Bar Manager",40520.86,46016.72,47447.75,45452.07,49761.49
"832","Food Preparation Worker",9.83,10.94,11.58,11.01,11.93
"833","Food And Beverage Attendant",9.95,10.63,10.69,12.42,10.29
"834","Restaurant Server",9.67,10.22,10.5,9,7.5
"835","Corporate Chef",68355.58,71663.81,79737.4,75171.72,NA
"836","Chef de Partie",15.14,15.01,17.49,15.78,NA
"837","Catering Assistant",11,12.77,14.23,15.31,14.87
"838","Beverage Manager",51781.22,54083.86,53710.45,52477.13,NA
"839","Breakfast Cook",10.04,10.64,11.24,12.85,13
"840","Catering Director",48757.43,51628.13,57378.69,64895.59,NA
"841","Host / Hostess of Restaurant, Lounge, or Coffee Shop",10.02,10.21,10.48,13.12,11.98
"842","Dining Room Supervisor",14.53,14.87,15.73,13.75,NA
"843","Counter Attendant, Cafeteria, Food Concession, or Coffee Shop",9.32,10,11.28,12.48,11.37
"844","Executive Pastry Chef",45604.16,57925.56,62363.86,63186.91,NA
"845","Pantry Cook",11.31,12.1,14.12,13.24,14.38
"846","Sommelier",49664.66,49814.48,52029.36,51395.14,47500
"847","Hotel Room Service Attendant",9.87,10.18,11.73,11.31,9.65
"848","Kitchen Helper / Aide",10.23,10.71,11.55,11.47,12.59
"849","Pantry Chef / Garde Manger",12.08,12.26,14.12,14.39,14.45
"850","Kitchen Hand",10.14,10.22,12.14,13.9,14
"851","Combined Food Preparation and Serving Worker, Including Fast Food",9.05,9.72,9.25,11,14
"852","Kitchen Manager, Restaurant",12.92,12.92,12.21,14.68,NA
"853","Operations Manager",52242.93,58979.5,67370.95,74126.5,80475.77
"854","Director of Operations",64620.29,72148.88,87209.03,101541.71,113960.85
"855","Executive Director",55004.18,60953.79,72168.26,88604.01,102495.14
"856","General / Operations Manager",49301.57,53833.84,63180.19,73562.75,82260.32
"857","Operations Supervisor",53735.06,55390.06,59399.98,62553.73,67165.75
"858","Chief Executive Officer (CEO)",101801.02,115493.97,129656.82,156588.66,190620.24
"859","Chief Financial Officer (CFO)",93493.1,101952.61,119126.82,143132.42,151096.65
"860","Vice President (VP), Operations",94382.3,100123.53,117661.88,135754.21,148211.27
"861","Chief Operating Officer (COO)",92099.29,101124.18,123482.16,149574.89,172170.44
"862","Program Manager, Non-Profit Organization",45366,50677.4,55885.76,60694.91,60899.15
"863","President",99095.05,109609.25,124050.82,149868.35,168885.72
"864","General Manager",42303.48,48470.15,53817.11,60426.93,69325.07
"865","Assistant General Manager (AGM)",40069.96,43423.83,49612.15,54393.51,59370.42
"866","Operations Director",58520.07,64842.8,81018.63,99114.77,113763.89
"867","Facilities Manager",56350.51,60416.97,66580.88,72222.92,79101.29
"868","Vice President (VP), Finance",101477.83,104690.1,122498.3,147469.71,151396.41
"869","Program Manager (Unspecified Type / General)",63729.53,74451.57,89412.27,99641.27,108108.26
"870","Chief Information Officer (CIO)",107650,122240.46,128238.01,165613.18,184363.9
"871","Chief Technology Officer (CTO)",102063.28,119305.41,133951.23,163862.13,185082.33
"872","Sr. Operations Manager",82677.36,95261.56,103764.57,114021.56,NA
"873","Project Manager, Operations",60215.62,68080.4,78953.89,86725.9,89170.63
"874","Vice President (VP), General Manager",96561.92,96605.93,107911.85,139008.83,152539.59
"875","Business Operations Manager",56088.8,71133.29,80808.24,84336.43,81737.91
"876","Executive Director, Non-Profit Organization",53144.55,55319.26,65637.25,73650.78,83125.93
"877","Retail General Manager (GM)",43466.21,49099.01,54250.36,62265.4,65998.46
"878","Sr. Project Manager, Operations",76306.13,84225.81,96624.72,107517.28,116198.03
"879","Chief Operations Officer (COO)",80944.52,90183.33,103310.27,130990.73,149314.55
"880","Facilities Director",56645.48,68060.1,76897.45,91119.12,96879.79
"881","Operations Administrator",45118.25,50214.95,55155.12,62047.21,69667.89
"882","Chief Marketing Officer (CMO)",85301.24,95884.75,134766.7,178329.13,198627.53
"883","Senior Vice President (SVP), Operations",130159.78,146911.9,169097.99,180802.54,NA
"884","Area Operations Manager",52172.46,56441.23,67270.01,75440.5,81953.79
"885","Assistant Director, Non-Profit Organization",45334.09,50254.19,58863.64,60588.37,69144.21
"886","Small Business Owner / Operator",59179.54,59376.28,56464.86,63569.2,75856.76
"887","Associate Director, Non-Profit Organization",54306.98,62327.69,70192.7,73998.3,81347.82
"888","Director, Supply Chain Management",83190.68,93616.55,116090.49,132442.55,134482.23
"889","Assistant Operations Manager",44578.18,49397.89,55468.18,59321.42,62309.37
"890","Facilities Coordinator",18.93,19.63,20.37,21.38,23.25
"891","Continuous Improvement Manager",64953.58,76171.8,88195.92,98532.68,100283.2
"892","Director, Customer Service",57456.46,82585.39,93095.38,103299.7,108865.6
"893","Engagement Manager",60708.43,66561.83,83023.67,107597.87,119265.12
"894","Regional Operations Director",75000,81995.64,94816.13,105592.38,111830.02
"895","President and CEO",90000,120944.83,129982.73,145611.17,186022.18
"896","Director of Strategy",85000,97724.62,123308.55,145114.37,149690.41
"897","Senior Program Manager (Unspecified Type / General)",94596.83,111838.57,127709.25,138457.76,NA
"898","Operations Coordinator (Unspecified Type)",43231.32,46447.42,50116.46,55621.16,57445.14
"899","Senior Director, Operations",101568.54,126004.42,144274.06,153810.3,NA
"900","Vice President (VP), Product Management",136462.14,127702.07,160465.01,175365.27,183246.3
"901","General Manager, Regional",56422.44,68103.37,79142.27,94145.11,103832.13
"902","Vice President (VP), Operations and Administration",80643.23,106915.29,124870.08,134575.33,NA
"903","Vice President (VP) Finance & Chief Financial Officer (CFO)",114522.62,113752.57,130350.11,155435.67,160207.67
"904","Chief Compliance Officer",69038.77,85995.5,103022.47,144107.47,142680.91
"905","Assistant Vice President (AVP), Regional Director",75000,84789.99,98649.92,121366.37,142694.19
"906","Chief Information Security Officer",106175.58,123550.26,130406.39,168141.12,181697.44
"907","Development Manager, Non-Profit Organization",45062.67,50980.49,56824.9,60462.05,59072.01
"908","Vice President (VP) of Product Development",120404.97,137253.38,165489.5,183893.41,NA
"909","Clinical Operations Manager",66426.53,72102.69,81391.82,89637.36,91040.99
"910","Chief Nursing Officer (CNO)",119886.71,120691.73,122751.7,136242.74,148644.28
"911","Director, Financial Planning & Analysis",99809.5,94922.2,121048.74,134966.17,136743.28
"912","Chief Human Resources Officer (CHRO)",103662.48,129904.24,149051.76,169732.18,NA
"913","Director, Operations and Administration",57720.72,69136.5,83984.78,92570.94,99758.17
"914","Branch Manager, Wholesale Distributor",54347.4,59245.02,61189.24,68421.59,70968.43
"915","Division General Manager",66973.76,79454.15,84122.98,108412.35,121494.67
"916","Vice President (VP), Strategy",123667.63,135446.79,160867.76,179019.59,NA
"917","District Operations Manager",51450.04,63270.14,67697.87,76514.19,79738.49
"918","Senior Director of Strategy",108206.43,135813.58,162890.04,173187.25,NA
"919","Revenue Manager",51485.97,61044.68,79593.23,81257.21,73099.49
"920","Senior Project Manager (Unspecified Type / General)",79771.37,93348.9,106718.27,110431.13,NA
"921","Government Affairs Director",62447.43,81166.22,93510.75,111892.12,120742.71
"922","Director, Housekeeping",39493.67,49618.46,57474.76,60884.97,63650.82
"923","Chief Executive Officer (CEO), Non-Profit Organization",66649.76,85607.04,85455.03,114645.69,135741.52
"924","Vice President (VP), Technology",129345.45,131448.04,162481.18,174967.47,NA
"925","Field Operations Manager",53675.32,57605.34,65390.59,75391.19,84673.73
"926","Director, Risk Management / Risk Control",79074.94,91722.41,108428.51,123442.06,131526.25
"927","Facilities / Maintenance Director",56222.22,57952.86,67445.74,77530.33,79789.79
"928","Field Marketing Manager",56606.94,66033.3,80462.63,90063.35,93989.36
"929","Regional Manager, Services Company",61169.69,63498.68,75153.2,87976,95057.69
"930","Customer Relationship Management (CRM) Manager",49937.58,66907.73,79770.2,89832.56,80000
"931","Vice President (VP), Marketing & Communications",99369.13,109664.24,131453.74,151883.78,NA
"932","Director, Product Development",101774.86,118532.84,139693.36,145758.31,NA
"933","Vice President (VP), Quality",117883.79,133432.29,151218.94,176286.37,NA
"934","Area Manager, Retail",50471.68,52896.1,60344.51,62313.63,66292.41
"935","Director of Program Management",97863.5,126364.78,146803.02,152801.14,NA
"936","Club General Manager",39584.24,46848.33,59230.15,72882.66,91498.96
"937","Vice President, Chief Operating Officer (COO)",120000,114276.34,126368.11,144885.43,154988.39
"938","Division Operations Manager",61114.36,64628.64,71257.84,87975.64,99602.87
"939","Director of Strategic Planning",77506.72,96200.27,113253.19,134964.37,147238.24
"940","Director of Revenue Management",77216.02,91746.73,103658.88,113945.96,NA
"941","Senior Vice President (SVP), Marketing",169380.53,154424.51,180344.05,195846.59,NA
"942","Product Development Director",86798.91,116254.34,128633.01,132086.15,NA
"943","Chief Development Officer (CDO)",91369.53,108105.57,119673.64,128507.11,NA
"944","Assistant Director of Operations",45708.77,52950.59,62783.23,74810.34,87000
"945","Vice President (VP), Commercial Lending",85536.51,99348.47,107948.15,115942.77,NA
"946","Director, Student Services",49744.73,54249.7,62678.35,67184.3,67886.01
"947","Deputy Executive Director, Non-Profit Organization",52335.97,65684.59,78739.4,84142.37,96782.78
"948","Ambassador",13.43,14.52,17.83,17.17,19
"949","Chief Administrative Officer (CAO)",90000,91811.23,111208.91,133189.44,147681.47
"950","Director, Community Relations",57984.88,54083.14,65658.33,72687.6,77263.04
"951","Director, Career Services",55245.96,59801.73,68438.87,70413.99,NA
"952","Chief Strategy Officer",146308.08,153394,192744.56,211914.44,NA
"953","Registered Nurse (RN)",27.57,29.14,31.86,34.53,36.25
"954","Licensed Practical Nurse (LPN)",19.45,20.23,21.38,22.29,23.07
"955","Physical Therapist (PT)",67719.19,70995.59,78314.15,84374.62,88138.37
"956","Registered Nurse (RN), Critical Care",27.06,29.51,33.05,37.52,40.27
"957","Pharmacy Technician",12.78,13.92,16.1,17.59,19.01
"958","Registered Nurse (RN), Emergency Room",27.27,29.46,33.02,36.6,39.27
"959","Family Nurse Practitioner (NP)",92098.99,97106.05,102441.41,104369.99,107021.27
"960","Physician Assistant (PA)",91567.31,96985.38,106080.44,112639.04,115602.1
"961","Registered Nurse (RN), Operating Room",28.62,30.57,33.41,37.08,39.85
"962","Radiographer",20.53,22.78,24.68,26,28.95
"963","Accounting Intern",15.35,15.08,15,NA,NA
"964","Dental Hygienist",31.47,33.69,36.12,36.59,36.46
"965","Phlebotomist",13.49,14.33,15.91,17.21,18.17
"966","Certified Pharmacy Technician (CPHT)",13.35,14.71,16.22,17.34,18.37
"967","Licensed Vocational Nurse (LVN)",21.45,22.67,24.12,24.68,24.71
"968","Occupational Therapist (OT)",34.46,35.88,39.39,41.48,43.85
"969","Wound Care Nurse",29.16,29.33,31.55,30.23,30
"970","Staff Nurse",27.48,29.36,31.93,34.98,36.45
"971","Practice Manager",53601.82,56675.39,61113.73,64621.15,66894.52
"972","Charge Nurse (RN)",28.94,30.84,33.26,36.48,38.44
"973","Speech-Language Pathologist (SLP)",34.27,36.18,40,42.77,44.83
"974","Registered Nurse (RN) Supervisor",33.77,32.4,34.45,36.01,36.19
"975","Certified Surgical Technologist (CST)",18.62,20.28,22.73,25.74,27.61
"976","Medical Technologist",23.69,25.09,27.33,29.58,31.54
"977","Pharmacist",54.04,55.63,58.77,60.35,60.36
"978","Nurse Case Manager",66250.72,70574.4,73410.03,76508.02,79575.88
"979","Radiologic Technologist",21.6,22.65,24.47,26.63,28.64
"980","Respiratory Therapist",24.04,25.29,27.77,29.91,31.4
"981","Dialysis Registered Nurse (RN)",30.84,32.51,34.73,36.54,37.98
"982","Safety Manager",57681.76,63812.13,74638.44,81190.31,83690.39
"983","Surgical Technologist",19.44,20.43,22.68,24.81,26.31
"984","Medical Laboratory Technician",18.59,19.53,21.36,22.75,25.1
"985","Veterinarian",79348.7,84112.56,90231.62,93647.17,97971.31
"986","Veterinary Technician",13.08,14.29,16.16,17.47,18.46
"987","Nursing Manager",80421.57,80881.41,84963.22,91125.77,94611.5
"988","Registered Respiratory Therapist (RRT)",23.62,24.78,27.21,29.6,31.45
"989","Primary Care Registered Nurse (RN)",26.8,28.23,29.82,33.52,35.23
"990","Medical Coder",16.73,18.37,20.67,21.74,23.15
"991","Registered Dental Hygienist (RDH)",33.48,35.45,36.92,37.12,37.19
"992","Director, Nursing",81523.77,87385.52,91032.72,98566.65,99505.68
"993","Clinical Nurse Manager",77650.3,77903.65,83260.26,87475.13,91388.83
"994","Clinical Supervisor",57124.85,57342.22,60369.51,61154.34,63757.84
"995","Nurse Practitioner (NP)",92487.47,97742.58,103713.46,108951.74,111004.81
"996","Practice Administrator",57883.6,66107.95,72935.85,77584.31,81169.84
"997","Registered Dietitian",50261.95,52860.44,59461.12,61263.82,64436.5
"998","Neonatal Intensive Care Unit (NICU) Registered Nurse",27.95,29.85,32.81,37.16,41.49
"999","Assistant Director of Nursing (ADON)",69628.94,71008.65,73750.52,74241.7,77333.86
"1000","Clinical Director",73330.29,74367.96,78607.62,83565.25,85849.76
"1001","Certified Professional Coder (CPC)",17.23,18.57,21.11,22.19,22.27
"1002","Computed Tomography (CT) Technologist",25.54,26.9,29,31.96,34.41
"1003","Psychiatric Nurse (RN)",29.47,30.57,32.44,34.61,36.13
"1004","Optician",12.97,14.27,16.61,17.93,19.91
"1005","Nursing Director",79865,82234.18,85395.89,90613.37,95912.79
"1006","Service Coordinator",15.86,17.3,18.54,19.66,19.8
"1007","Chief of Staff",77433.83,86919.69,109597.5,136507.94,148614.7
"1008","MRI Technologist",27.63,29.39,31.81,34.8,35.75
"1009","Psychiatric Nurse Practitioner (NP)",104726.8,111382.39,117214.24,119919.7,118943.12
"1010","Certified Ophthalmic Assistant (COA)",15.06,16.63,18.39,19.77,20.47
"1011","Nurse, Intensive Care Unit (ICU)",27.74,30.37,34.09,39.18,41.73
"1012","Activity Director",14.9,15.48,16.49,17.01,18.71
"1013","Paramedic",17.26,18.08,19.05,20.16,21.62
"1014","Sonographer",26.39,29.2,33.25,35.3,38.16
"1015","Cardiac Sonographer",27.58,29.16,32.34,35.42,38.54
"1016","Speech Language Pathologist (SLP), Clinical Fellowship Year (CFY)",33.52,34.46,35,25,32.5
"1017","Clinical Manager",60123.41,68710.77,71755.64,74423.9,76905.57
"1018","MDS Coordinator",26.73,28.9,30.18,31.14,31.75
"1019","Veterinary Assistant",11.93,13,14.67,14.91,15.45
"1020","Advanced Registered Nurse Practitioner (ARNP)",91663.5,97003.72,102925.81,108519.88,108909.64
"1021","Family Physician / Doctor",182838.53,192749.72,193794.16,198288.02,202235.17
"1022","Optometrist",102230.76,108484.01,115855.3,120775.75,122614.6
"1023","Dietary Aide",10.23,10.87,11.7,12.03,12.71
"1024","Emergency Medical Technician (EMT) - Basic",13.08,13.65,14.95,15.52,15.85
"1025","Safety Director",52431.53,63355.81,76043.72,87597.11,96797.43
"1026","Lab Technologist",16.5,17.94,19.55,22.08,25.66
"1027","Licensed Registered Occupational Therapist",34.79,35.75,38.64,41.96,43.7
"1028","Ophthalmic Technician",14.56,16.17,18.67,20.13,21.92
"1029","Radiation Therapist",30.03,31.25,34.24,39.83,42.36
"1030","Acute Care Nurse Practitioner (ACNP)",97534.87,102323.15,109326.07,117279.85,116080.6
"1031","Certified Clinical Hemodialysis Technician",14.39,15.53,17.15,18.9,20.13
"1032","Dentist",120608.33,130919.97,141843.37,152288.31,158069.61
"1033","Ultrasound Technologist",26.06,29.57,32.59,35.74,37.61
"1034","Surgical Technician",17.81,19.62,21.37,24.33,26.37
"1035","Medical / Clinical Laboratory Technologist",22.57,24.48,27.6,29.91,31.6
"1036","Medical / Clinical Laboratory Technician",17.41,18.55,20.28,22.22,25.1
"1037","Food Service Director",43381.63,46335,53537.07,59581.95,62647.28
"1038","Clinical Pharmacist",107238.26,115027.34,122649.72,124810.31,128237.43
"1039","Medical Records Clerk",13.33,13.78,14.38,14.74,15.4
"1040","Labor And Delivery Nurse",26.85,29.29,32.61,35.55,38.91
"1041","Nurse Anesthetist (CRNA)",147113.72,152785.31,163886.06,173519.14,187389.54
"1042","Registered Psychiatric Nurse (RPN)",29.05,30.35,32.38,34.29,36.54
"1043","Nursing Supervisor",31.13,34.35,35.57,38.51,43.14
"1044","Athletic Trainer",40118.47,41414.61,46991.48,49939.72,58468.2
"1045","Diagnostic Medical Sonographer",26.3,28.98,33.02,35.85,39.65
"1046","Mental Health Technician",12.83,13.51,14.87,15.22,16.11
"1047","Radiology Technologist",21.55,22.95,24.34,26.67,28.01
"1048","Behavioral Health Technician",14.05,14.75,15.02,15.75,16.4
"1049","Pediatrics Nurse Practitioner (NP)",86734.9,91559.68,92861.85,97772.57,99696.13
"1050","Nuclear Medicine Technologist",29.15,30.32,33.28,35.75,38.47
"1051","Dietitian",48387.49,52741.37,59202.19,62606.05,65092.38
"1052","Emergency Room (ER) Technician",13.55,14.7,15.85,17.19,17.75
"1053","Certified Nurse Assistant (CNA)",12.5,12.96,13.59,14.19,14.8
"1054","Medical Assistant",14.05,14.98,16.42,17.34,18.22
"1055","Dental Assistant",14.19,15.4,17.86,19.35,20.53
"1056","Caregiver",11.45,11.82,12.27,12.74,12.99
"1057","Medical Assistant (Certified)",13.86,14.96,16.53,17.65,18.35
"1058","Patient Care Technician",13.47,14.08,15.08,15.93,16.82
"1059","Certified Medical Assistant (CMA)",13.74,14.97,16.41,17.38,18.37
"1060","Physical Therapist Assistant",23.01,24.68,27.18,28.54,30.38
"1061","Certified Occupational Therapy Assistant (COTA)",24.93,25.86,27.39,29.1,30.33
"1062","Registered Medical Assistant (RMA)",13.73,14.63,16.07,17.29,18.02
"1063","Sterile Processing Technician",14.93,15.65,17.47,18.85,19.44
"1064","Registered Dental Assistant (RDA)",14.46,17.04,19.87,21.42,23.05
"1065","Home Health Aide",10.82,11.37,12.14,12.25,12.62
"1066","Expanded Functions Dental Assistant (EFDA)",16.76,18.23,20.42,22.28,23.58
"1067","Patient Care Assistant (PCA)",12.11,12.66,13.71,14.95,15.68
"1068","Physical Therapy Assistant",22.95,24.9,26.7,28.63,31.06
"1069","State Tested Nursing Assistant (STNA)",11.69,12.29,13.02,13.79,14.23
"1070","Orthodontic Assistant",14.77,16.35,19.08,20.68,22.01
"1071","Massage Therapist",18.42,20.07,22.79,27.27,33.45
"1072","Nursing Assistant",13.09,14,14.95,15.12,15.5
"1073","Speech-Language Pathology Assistant (SLPA)",21.9,24.36,26.52,28.23,27.5
"1074","Certified Clinical Medical Assistant",13.52,14.38,15.87,16.72,17.67
"1075","Dental Assistant (Registered)",14.57,16.95,19.49,21.08,22.96
"1076","Credentialing Specialist",17.27,18.49,20.12,20.67,20.08
"1077","Personal / Home Care Aide",10.72,11.32,12.13,12.27,12.84
"1078","Home Health Aide (HHA), Certified",11.81,12.35,12.59,12.96,13.28
"1079","Live-In Caregiver",11.59,12.16,12.32,12.94,14.51
"1080","Medical Scribe",11.79,13.18,15.53,17.06,16.51
"1081","Medical Office Assistant",13.45,14.17,15.03,15.95,16.67
"1082","Dialysis Technician",14.79,15.46,17.8,19.88,20.65
"1083","Authorization Specialist",14.81,16.06,16.82,17.47,18.4
"1084","Nurse's Aide (Certified)",11.65,12.29,13.46,13.89,14.45
"1085","Dental Assistant (Certified)",14.49,16.55,18.2,19.76,21.56
"1086","Occupational Therapy Assistant (OTA)",24.33,25.64,27.12,29.3,31.22
"1087","Direct Care Worker (DCW)",10.41,11.09,11.5,11.53,11.97
"1088","Endoscopy Technician",15.05,16.01,17.98,19.17,19.61
"1089","Physical Therapy Aide",11.86,12.35,13.85,14.69,16.08
"1090","Treatment Coordinator, Dental",15.92,17.4,19.24,20.69,23
"1091","Chiropractic Assistant",12.54,13.2,14.75,15.31,16.31
"1092","Licensed Massage Therapist (LMT)",18.47,20.33,21.04,25.16,30.95
"1093","Medication Aide",12.25,13.08,14.08,13.87,14.95
"1094","Licensed Nursing Assistant (LNA)",13.28,13.93,14.83,15.96,17.56
"1095","Certified Medication Aide",12.07,13.03,13.75,14.53,14.69
"1096","Nurse Navigator",69449.48,68911.81,72732.16,76372.12,80812.25
"1097","Dental Assistant Lead",17.52,19.06,20.65,21.13,NA
"1098","Medical Transcriptionist",14.86,14.87,15.51,16.8,18.28
"1099","Patient Transporter",11.88,12.24,13.2,13.93,15.06
